composer,piece,top_recommendation,date,reviewer,podcast
"Brahms, Johannes","Symphony No 4 in E minor, Op 98","Royal Philharmonic Orchestra, Fritz Reiner (conductor) 
(Recorded 1962)
CHESKY CD006 (CD)",2005-07-08T00:00:00Z,NA,NA
"Liszt, Franz",Piano Sonata in B minor S178,"Krystian Zimerman (piano) (1990)
DG 431 780-2 (CD)",2005-07-02T00:00:00Z,Harriet Smtih,NA
"Mendelssohn, Felix",Midsummer Night's Dream,"Kathleen Battle (First Fairy), Frederica von Stade (Second Fairy), Judi Dench (narrator), Tanglewood Festival Chorus, Boston Symphony Orchestra, Seiji Ozawa (conductor)
(recorded 1992)
DG 439 897-2 (CD)",2005-06-25T00:00:00Z,NA,NA
"Bach, Johann Sebastian",Complete Motets,"The Netherlands Chamber Choir, 
Ageet Zweistra (cello), Maggie Urquhart (violin), Maarten van der Heyden (violin), Jan Kleinbussink (organ), Ton Koopman (conductor) 
PHILIPS 434 165-2 (CD)",2005-06-11T00:00:00Z,NA,NA
"Puccini, Giacomo",Gianni Schicchi,"Rolando Panerai (Gianni Schicchi), Helen Donath (Lauretta), Vera Baniewicz (Zita), Peter Seiffert (Rinuccio), Tullio Pani (Gherardo), Valerie Errante (Nella), Gerhard Auer (Betto di Signa), Franco Federici (Simone), Robert Riener (Marco), Mechthild Georg (La Ciesca), Munich Radio Orchestra, Giuseppe Patane (conductor)  (recorded 1987)
RCA 74321252852 (CD)",2005-06-08T00:00:00Z,Alexandra Wilson,NA
"Bernstein, Leonard",The Symphonies,"Symphony No 1 Jeremiah*; 
Symphony No 2 ‘The Age of Anxiety’+: *Jennie Tourel (mezzo), 
+Philippe Entremont (piano), 
New York Philharmonic, Leonard Bernstein (conductor) (1961, 1965)
SONY SMK 60697 (CD)",2005-06-04T00:00:00Z,NA,NA
"Vaughan Williams, Ralph",Symphony No 3 ‘Pastoral’,"Rebecca Evans (soprano), London Symphony Orchestra, Richard Hickox (conductor) 
(recorded 2002)
CHANDOS CHAN 10001 (CD)
",2005-05-28T00:00:00Z,Andrew Green,NA
"Rachmaninov, Sergei",The Preludes,"Howard Shelley (piano) (recorded 1982) 
HYPERION CDA 66081 (CD)
HYPERION CDA 66082 (CD)",2005-05-21T00:00:00Z,NA,NA
"Scarlatti, Domenico",The Keyboard Sonatas,"Pierre Hantai (harpsichord) 
Volume 1 MIRARE MIR 9918 (CD)
Volume 2 MIRARE MIR 9920 (CD)",2005-05-14T00:00:00Z,NA,NA
"Ravel, Maurice",Piano Concerto in D Major for the Left Hand,"Krystian Zimerman (piano), London Symphony Orchestra, Pierre Boulez (conductor) (recorded 1996)
DG 449 213-2 (CD)",2005-05-07T00:00:00Z,NA,NA
"Haydn, Joseph",String Quartets Op 76,"Quatuors Mosaique (1998, 2000)
ASTREE E8665 (2-CD)",2005-04-30T00:00:00Z,NA,NA
"Sibelius, Jean","Four Legends (Lemminkainen Suite), Op 22","Iceland Symphony Orchestra, Petri Sakari (conductor) (recorded 1997)
NAXOS 8.554265 (CD)",2005-04-23T00:00:00Z,NA,NA
"Pergolesi, Giovanni Battista",Stabat Mater,"Andreas Scholl (countertenor), Barbara Bonney (soprano), Les Talens Lyriques, Christophe Rousset (conductor)
(recorded 1999)
DECCA 466 134-2 (CD)",2005-04-16T00:00:00Z,NA,NA
"Janáček, Leoš",Taras Bulba – Rhapsody for Orchestra,"Czech Philharmonic Orchestra, Karel Ancerl (conductor) (recorded 1961)
SUPRAPHON SU 3667-2 911 (CD)",2005-04-09T00:00:00Z,NA,NA
"Gounod,  Charles",Faust,"Nicolai Gedda (Faust), Victoria de los Angeles (Marguerite), Boris Christoff (Mephistopheles), Ernest Blanc (Valentin), Liliane Berton (Siebel), Rita Gorr (Marthe), Victor Autran (Wagner), Orchestre et Choeurs du Theatre National de l’Opera, Andre Cluytens (conductor) (recorded 1958) 
EMI 567967-2 (3-CD)",2005-04-02T00:00:00Z,NA,NA
"Britten, Benjamin","Sinfonia da Requiem, Op 20","New Philharmonia Orchestra, Benjamin Britten (conductor)
Mstislav Rostropovich (cello), English Chamber Orchestra, Peter Pears (tenor), Dietrich Fischer-Dieskau (baritone), London Symphony Orchestra, 
DECCA E4251002 (CD)",2005-03-26T00:00:00Z,NA,NA
"Beethoven, Ludwig Van","Cello Sonata No 3 in A Major, Op 69","Adrian Brendel (cello), Alfred Brendel (piano)
PHILIPS 475 379-2 (2-CD)",2005-03-19T00:00:00Z,Alyn Shipton,NA
"Martin, Frank",Mass for Double Choir,"The Sixteen, Harry Christophers (conductor) (recorded 1995)
CORO COR16029 (CD)",2005-03-12T00:00:00Z,NA,NA
"Elgar, Edward","Falstaff - Symphonic Study in C minor, Op 68","English Northern Philharmonia, David Lloyd-Jones (conductor) (recorded 1996)
NAXOS 8.553879 (CD)",2005-03-05T00:00:00Z,NA,NA
"Fauré, Gabriel",The Complete Violin Sonatas,"Krysia Osostowicz (violin), Susan Tomes (piano) (recorded 1987)
HELIOS CDH55030 (CD)",2005-02-26T00:00:00Z,NA,NA
"Schoenberg, Arnold","Chamber Symphony No 1, Op 9","Royal Concertgebouw Orchestra, Riccardo Chailly (conductor) (recorded 1992)
DECCA 473 728-2 (2-CD)",2005-02-19T00:00:00Z,NA,NA
"Mozart, Wolfgang Amadeus","String Quintet in G Minor, K516","Grumiaux Trio with Arpad Gerecz (violin), Max Lesueur (viola) (recorded 1973)  
PHILIPS 456 058-2 (2-CD) (‘Duo’ Series)",2005-02-12T00:00:00Z,NA,NA
"Bach, Johann Sebastian","Musical Offering 
BWV 1079","Gottfried von der Goltz (violin), Karl Kaiser (flute), Ekkehard Weber (viola da gamba), Michael Behringer (fortepiano)
HANSSLER CD 92.133 (CD)",2005-02-05T00:00:00Z,NA,NA
"Bellini, Vincenzo",I Puritani,"Joan Sutherland (Elvira), Luciano Pavarotti (Arturo Talbo), Piero Cappuccilli (Riccardo), Nicolai Ghiaurov (Giorgio Valton), Chorus of the Royal Opera House, Covent Garden, London Symphony Orchestra, Richard Bonynge (conductor) (1973)
DECCA 417 588-2 (3-CD)",2005-01-29T00:00:00Z,NA,NA
"Brahms, Johannes",Serenade No 2 in A Major Op 16,"London Symphony Orchestra, Bernard Haitink (conductor) (recorded live 2003)
LSO LIVE LSO0056 (CD)",2005-01-22T00:00:00Z,NA,NA
"Schubert, Franz","Fantasy in F Minor, D940","Christoph Eschenbach & Justus Frantz (piano duet) (recorded 1978)
EMI 5697702 (2-CD)",2005-01-15T00:00:00Z,NA,NA
"Nielsen, Carl","Wind Quintet, Op 43","Wind Quintet of the Danish National Radio Symphony Orchestra (recorded 1999)
DACAPO 8.224151 (CD)",2005-01-08T00:00:00Z,NA,NA
"Verdi, Giuseppe",Il Trovatore,"Franco Bonisolli (Manrico), Leontyne Price (Leonora), Piero Cappuccili (Count di Luna), Elena Obraztsova (Azucena), Ruggiero Raimondi (Ferrando), M. Venuti (Ines), H. Nitsche (Ruiz), Berlin Philharmonic Orchestra, Berlin Deutsche Opera Chorus, Herbert von Karajan 
(Recorded 1977)
EMI 7693112 (2-CD)",2005-01-05T00:00:00Z,NA,NA
"Britten, Benjamin",A Ceremony of Carols,"The Choristers of King’s College, Cambridge, Osian Ellis (harp), David Willcocks (conductor) (recorded 1972)
Robert Tear (tenor), Cambridge Girls’ Choir, Academy of St Martin in the Fields) 
EMI 5651122 (CD)",2004-12-11T00:00:00Z,Catherine Bott,NA
"Biber, Heinrich Ignaz Franz von",SURVEY,"Best introduction to Biber:
Battalia; Ballettae; Sonata 'The Peasants’ Church Procession'; early versions of Sonatae tam aris, quam aulis servientes 1, 9, 11 & 12;
Sonata for 6 trumpets & organ: Concentus Musicus Vienna,  Nikolaus Harnoncourt (director/cello)
TELDEC 4509-97914-2 (CD)",2004-12-04T00:00:00Z,NA,NA
"Beethoven, Ludwig Van",Symphonies (complete),"The Chamber Orchestra of Europe, 
Charlotte Margiono (soprano), Birgit Remmert (mezzo), Rudolf Schasching (tenor), Robert Holl (bass), Arnold Schoenberg Choir, 
Nikolaus Harnoncourt (conductor) (1990-91)
TELDEC 0927 497682 (5-CD)",2004-11-27T00:00:00Z,NA,NA
"Debussy, Claude",String Quartet in G Minor,"Belcea Quartet (recorded 2000)
EMI 5740202 (CD)",2004-11-20T00:00:00Z,NA,NA
"Strauss, Richard",Don Quixote,"Thomas Grossenbacher (cello), Michel Rouilly (viola), Tonhalle Orchestra, Zurich, David Zinman (conductor) (2003)
ARTE NOVA  74321 984962 (CD)",2004-11-13T00:00:00Z,NA,NA
"Ives, Charles","Piano Sonata No 2 ‘Concord, Mass, 1840-60’","Marc-Andre Hamelin (piano) (2004)
HYPERION CDA 67469 (CD)",2004-11-06T00:00:00Z,NA,NA
"Tallis, Thomas",The Lamentations of Jeremiah,"Magnificat, Philip Cave (recorded  1997
LINN CKD 233 (SACD/CD hybrid)",2004-10-30T00:00:00Z,NA,NA
"Rachmaninov, Sergei",Piano Concerto No 2 in C Minor Op 18,"Vladimir Ashkenazy (piano), Moscow Philharmonic Orchestra, Kirill Kondrashin (conductor) (recorded 1963)
DECCA 466 375-2 (CD)",2004-10-23T00:00:00Z,NA,NA
"Handel, George Frideric",Saul,"Neal Davies (Saul), Andreas Scholl (David), Mark Padmore (Jonathan), Susan Gritton (Merab), Nancy Argenta (Michal), 
Paul Agnew (High Priest); Jonathan Lemalu (Ghost of Samuel), Gabrieli Consort & Players, Paul McCreesh (conductor) (recorded 2002)
ARCHIV 474 510-2 (3-CD)",2004-10-16T00:00:00Z,Robert Hollingworth,NA
"Berg, Alban",Violin Concerto,"Josef Suk (violin), Czech Philharmonic Orchestra, Karel Ancerl (conductor) (1965)
SUPRAPHON SU 3663-2 (CD)",2004-10-02T00:00:00Z,NA,NA
"Puccini, Giacomo",Madama Butterfly,"Renata Tebaldi (Madama Butterfly), Carlo Bergonzi (B. F. Pinkerton), Fiorenza Cossotto (Suzuki), Enzo Sordello (Sharpless), Angelo Mercuriali (Goro), Paolo Washington (The Bonze), Lidia Nerozzi (Kate Pinkerton), Michele Cazzato (Prince Yamadori), Virgilio Carbonari (The Imperial Commissioner), Oscar Nanni (Yakuside), Orchestra dell’Accademia di Santa Cecilia, Rome, Tullio Serafin (conductor) (recorded 1958)
DECCA 452 594-2 (2-CD)",2004-09-25T00:00:00Z,NA,NA
"Beethoven, Ludwig Van","Bagatelles (complete: Op 33, 119, 126)","First Choice (Complete Bagatelles):
Alfred Brendel (piano)
PHILIPS 456 031-2 (CD)",2004-09-18T00:00:00Z,NA,NA
"Schubert, Franz",Symphony No 8 ‘Unfinished’,"Vienna Philharmonic, Carlos Kleiber (conductor)
(recorded 1978)
DG 477 5324 (CD)",2004-09-11T00:00:00Z,NA,NA
"Haydn, Joseph",The Creation,"Dorothea Roschmann (Soprano), Michael Schade (Tenor), 
Christian Gerhaher (Baritone), Arnold Schoenberg Choir, 
Concentus Musicus Wien, Nikolaus Harnoncourt (conductor) (live 2003)
DEUTSCHE HARMONIA MUNDI 82876 583402 (2-CD)",2004-07-10T00:00:00Z,Dermot Clinch,NA
"Britten, Benjamin","Serenade for Tenor, Horn & Strings","Anthony Rolfe-Johnson (tenor), Michael Thompson (horn), Royal Scottish National Orchestra, 
Bryden Thomson (conductor) (recorded 1988) 
CHANDOS CHAN 10192 X (CD)",2004-07-03T00:00:00Z,NA,NA
"Stravinsky, Igor",The Rite of Spring,"Atlanta Symphony Orchestra, Yoel Levi (conductor) 
(recorded 1991)
TELARC CD 80266 (CD)",2004-06-26T00:00:00Z,Peter Hill,NA
"Beethoven, Ludwig Van","Piano Sonata No 21, Op 53 ‘Waldstein’","Maurizio Pollini (piano)
DG 435 472 2 (CD)",2004-06-19T00:00:00Z,Penelope Thwaites,NA
"Mozart, Wolfgang Amadeus","Bassoon Concerto in B Flat Major, K191","Julie Andrews (bassoon), Britten Sinfonia, Nicholas Cleobury (conductor) (recorded 1998; c/w Concerto in C for Flute, Harp & Orchestra, K 299; Sinfonia Concertante in E Flat for Oboe, Clarinet, Bassoon & Horn K297b)
CLASSIC FM  75605 570382 (CD)",2004-06-12T00:00:00Z,NA,NA
"Weill, Kurt",The Threepenny Opera,"Rene Kollo (Macheath), Mario Adorf (Peachum), Helga Dernesch (Frau Peachum), Ute Lemper (Polly), Milva (Jenny), Wolfgang Reichmann (Brown), Susanne Tremper (Lucy), Rolf Boysen (Ausrufer), RIAS Kammerchoir, RIAS Berlin Sinfonietta, John Mauceri (conductor) (recorded 1988)
DECCA 430 075-2 (CD)",2004-06-05T00:00:00Z,NA,NA
"Charpentier, Marc-Antoine",SURVEY,"CHARPENTIER Messe a quatre chœurs; La reniement de St Pierre; Salve regina a trois chœurs;Salut de la veille des ‘O’: Ex Cathedra, Jeffrey Skidmore (conductor)
HYPERION CDA67435 (CD)

CHARPENTIER Transfige dulcissime Jesu; Le Reniement de St Pierre;
Extremum Dei judicium; Salve Regina pour trois chœurs; Litanies pour deux dessus et une basse chantante;
Motet pour les Trepasses: Ensemble europeen William Byrd, Yannick Varlet (organ), Graham O’Reilly (conductor)
PAN CLASSICS 10175 (CD)

CHARPENTIER Andromede; Le Ballet de Polieucte: Rachel Elliott (soprano), James Gilchrist (tenor),Thomas Guthrie (baritone), Giles Underwood (bass), New Chamber Opera, The Band of Instruments,
Gary Cooper (director)
ASV CD GAU 303 (CD)

CHARPENTIER Acteon; Intermede pour  ‘Le Mariage force or  La Comtesse d’Escarbagnas’:
Les Arts Florissants, William Christie (conductor)
HARMONIA MUNDI HMA 1951095 (CD) 

",2004-05-29T00:00:00Z,Graham Sadler,NA
"Copland, Aaron",Concerto for Clarinet & String Orchestra with Harp & Piano,"Richard Hosford (clarinet), The Chamber Orchestra of Europe, Thierry Fischer (conductor)
(recorded 1989)
ASV PLT8504 (CD)",2004-05-22T00:00:00Z,NA,NA
"Dvořák, Antonín","Symphony No 7 in D Minor, Op 70","Berlin Philharmonic Orchestra, Rafael Kubelik  (conductor) (recorded 1971)
DG 457 902-2 (CD)",2004-05-15T00:00:00Z,NA,NA
"Chopin, Frédéric","Piano Sonata No 3 in B Minor, Op 58","Nelson Goerner (piano) 
(recorded 1996) 
EMI 569701 2 (CD)",2004-05-08T00:00:00Z,NA,NA
"Bernstein, Leonard",Chichester Psalms,"Israel Philharmonic Orchestra, 
Leonard Bernstein (conductor) (Live performance 1977)         
DG 447 954-2 (CD)",2004-05-01T00:00:00Z,Ash Khandekar,NA
"Mendelssohn, Felix","Violin Concerto in E Minor, Op 64","Joshua Bell (violin), Camerata Salzburg, Sir Roger Norrington (conductor) 
(Recorded 2000)
SONY SK 89505 (CD)",2004-04-24T00:00:00Z,NA,NA
"Berio, Luciano",SURVEY,"BERIO Concerto II “Echoing Curves”; SCHUBERT/BERIO Rendering for Orchestra;
BOCCHERINI/BERIO Quattro versioni originali della “Ritirata notturna di Madrid”:
London Symphony Orchestra, Luciano Berio (conductor)
RCA 09026 688942 (CD)

BERIO Naturale; Voci; Sicilian Folk Music:
Kim Kashkashian (viola), Robyn Schulkowsky (percussion)
Vienna Radio Symphony Orchestra, Dennis Russell Davies (conductor), 
ECM 461 808-2 (CD)",2004-04-17T00:00:00Z,Gillian Moore,NA
"Scarlatti, Domenico",Stabat Mater,"Ensemble William Byrd, Yannick Varlet (organ), Graham O’Reilly (conductor) 
(recorded 1999)
PIERRE VERANY PV799111 (CD)",2004-04-10T00:00:00Z,NA,NA
"Bach, Johann Sebastian","Orchestral Suites
BWV 1066-69
","Musica Antiqua Koln, Reinhard Goebel
ARCHIV 4716562 (8-CD)",2004-04-03T00:00:00Z,NA,NA
"Ravel, Maurice",Gaspard de la Nuit,"Jean-Efflam Bavouzet (piano)
(recorded 2003) 
MUSIKPRODUKTION DABRINGHAUS UND GRIMM 604 1190-2 (2-CD)",2004-03-27T00:00:00Z,NA,NA
"Beethoven, Ludwig Van",Fidelio,"Christa Ludwig (Leonore), Jon Vickers (Florestan), Walter Berry (Don Pizarro), Gottlob Frick (Rocco), Ingeborg Hallstein (Marzelline), Gerhard Unger (Jaquino), Franz Crass (Don Fernando), Philharmonia Chorus & Orchestra, Otto Klemperer (conductor) 
EMI 5673642 (2-CD)",2004-03-20T00:00:00Z,NA,NA
"Haydn, Joseph",The Paris Symphonies,"Orchestra of the 18th Century, Frans Bruggen (conductor) (recorded live 1996)
PHILIPS 473 015-2 (13-CD)",2004-03-13T00:00:00Z,Denis McCaldin,NA
"Kodály, Zoltán",Hary Janos,"RIAS Symphony Orchestra Berlin, Ferenc Fricsay (conductor) (recorded 1961)
DG 457 7452 (CD)",2004-03-06T00:00:00Z,NA,NA
"Rachmaninov, Sergei",Vespers,"National Academic Choir of Ukraine “Dumka”, Olga Berusene (soprano), Yuri Korinnyk (tenor), Mykhaylo Tyshchencko (tenor), Yevhen Savchuk (conductor) (recorded 2000)
REGIS RRC1043 (CD)",2004-02-28T00:00:00Z,NA,NA
"Vivaldi, Antonio",Flute Concertos Op 10,"Flute Version:
Lisa Beznosiuk (flute), The English Concert, Trevor Pinnock (director/harpsichord) 
(recorded 1987)
ARCHIV 471 317-2 (5-CD)",2004-02-21T00:00:00Z,NA,NA
"Elgar, Edward","Cello Concerto in E Minor, Op 85","Jacqueline du Pre (cello), London Symphony Orchestra, Sir John Barbirolli (conductor) 1965
EMI 6230752 (CD)",2004-02-14T00:00:00Z,Richard Morrison,NA
"Schubert, Franz",Mass in A Flat Major D678,"Anna Korondi (soprano), Anke Vondung (mezzo), Andreas Karasiak (tenor), Kay Stiefermann (bass), RIAS-Kammerchor, Orchestre des Champs Elysees, Philippe Herreweghe (conductor)
(recorded live in 2002)
HARMONIA MUNDI HMC 901786 (CD)",2004-02-07T00:00:00Z,NA,NA
"Sibelius, Jean","Violin Concerto in D Minor, Op 47","Joshua Bell (violin), Los Angeles Philharmonic Orchestra, Esa-Pekka Salonen (conductor)
(recorded 1999) 
SONY SK65949 (CD)",2004-01-31T00:00:00Z,NA,NA
"Weber, Carl Maria Von","Clarinet Quintet in B Flat Major, Op 34","Pascal Moragues (clarinet), Prazak Quartet (recorded 2001)
PRAGA DIGITALS PRD 250 164 (CD)",2004-01-24T00:00:00Z,NA,NA
"Mozart, Wolfgang Amadeus",The Magic Flute,"Nicolai Gedda (Tamino), Gundula Janowitz (Pamina), Walter Berry (Papageno), Lucia Popp (Queen of the Night), Gottlob Frick (Sarastro), Franz Crass (Speaker), Elisabeth Schwarzkopf, Christa Ludwig, Marga Hoffgen (The Three Ladies), Ruth-Margret Putz (Papagena), 
Gerhard Unger (Monostatos), Agnes Giebel, Anna Reynolds, Josephine Veasey (The Three Boys), 
Philharmonia Chorus & Orchestra, Otto Klemperer (conductor) (recorded 1964)
EMI CMS 567388 2 (2-CD)",2004-01-17T00:00:00Z,NA,NA
"Grieg, Edvard","Piano Concerto in A Minor, Op 16","Radu Lupu (piano), London Symphony Orchestra, Andre Previn (conductor)
(recorded 1973) 
DECCA (Legends) 466 383-2 (CD)",2004-01-10T00:00:00Z,Lucy Parham,NA
"Bach, Johann Sebastian","English Suites   
BWV 806-811","Angela Hewitt (piano) 
HYPERION CDA67451/2 (2 hybrid CD-SACD)",2004-01-03T00:00:00Z,NA,NA
"Berlioz, Hector","Symphonie Fantastique, Op 14","London Philharmonic Orchestra, Zubin Mehta (conductor)
(recorded 1993)
APEX 8573895332 (CD)",2003-12-20T00:00:00Z,NA,NA
"Byrd, William",The Masses,"The Cardinall’s Musick, Andrew Carwood (director) (recorded 1999)
ASV CD GAU 206 (CD)",2003-12-06T00:00:00Z,NA,NA
"Debussy, Claude",Jeux,"Cleveland Orchestra, Pierre Boulez (conductor) (recorded 1991)
DG 439 896-2 (CD)",2003-11-29T00:00:00Z,NA,NA
"Handel, George Frideric",Ode on St Cecilia’s Day,"Heather Harper (soprano), Peter Pears (tenor), Chorus of East Anglian Choirs,
English Chamber Orchestra, Benjamin Britten (conductor)
(recorded 1967)
BBCM BBCB 8009-2 (CD)",2003-11-22T00:00:00Z,NA,NA
"Schubert, Franz",Impromptus,"Mitsuko Uchida (piano) (recorded 1996)
PHILIPS 456 245-2 (CD)",2003-11-15T00:00:00Z,NA,NA
"Stravinsky, Igor",The Soldier's Tale,"In French:
Gerard Carrat (Narrator), François Berthet (Soldier), François Simon (Devil), Nicolas Chumachenko (Violin), instrumental ensemble,
Charles Dutoit (Conductor) (1970) 
APEX 2564 61367-2 (2-CD)",2003-11-08T00:00:00Z,NA,NA
"Mozart, Wolfgang Amadeus","Requiem in D minor, K626","Margaret Price (soprano), Trudeliese Schmidt (mezzo-soprano), Francisco Araiza (tenor), Theo Adam (bass), Leipzig Radio Choir, Staatskapelle Dresden, Peter Schreier (conductor) (recorded 1982
PHILIPS 4647202 (CD)",2003-11-01T00:00:00Z,NA,NA
"Schoenberg, Arnold",Gurreleider,"Sharon Sweet (Tove), Marjana Lipovsek (Wood Dove), Siegfried Jerusalem (Waldemar), Philip Langridge (Klaus), Hartmut Welker (Peasant), Barbara Sukowa (Speaker), Arnold Schoenberg Choir, Slovak Philharmonic Choir, Vienna State Opera Chorus, Vienna Philharmonic Orchestra,  
Claudio Abbado (conductor) (Live performance recorded 1992)  
DG 439 944-2 (2-CD)",2003-10-26T00:00:00Z,NA,NA
"Franck, César",Symphonic Variations,"Louis Lortie (piano), BBC Philharmonic, Yan Pascal Tortelier (conductor) (recorded 2000)
CHANDOS CHAN 9875 (CD)",2003-10-25T00:00:00Z,NA,NA
"Britten, Benjamin",String Quartets,"First Choice for String Quartet No 1:
Brodsky Quartet (recorded 2001)
CHALLENGE CLASSICS CC 72106 (CD)",2003-10-18T00:00:00Z,NA,NA
"Mahler, Gustav",Kindertotenlieder,"Dietrich Fischer-Dieskau (baritone), Berlin Philharmonic Orchestra, Rudolf Kempe (conductor) (recorded 1955)
EMI 567556 2 (CD)",2003-10-11T00:00:00Z,NA,NA
"Donizetti, Gaetano",Don Pasquale,"Renato Bruson (Don Pasquale), Eva Mei (Norina), Thomas Allen (Dottor Malatesta), Frank Lopardo (Ernesto), Alfredo Giacomotti (Un Notaro), Bavarian Radio Chorus, Munich Radio Orchestra, Roberto Abbado (conductor) (1993)
RCA 09026 61924-2 (2-CD)",2003-10-04T00:00:00Z,NA,NA
"Holst, Gustav","The Planets, Op 32","Atlanta Symphony Orchestra, Yoel Levi (conductor) (recorded 1998)
TELARC CD-80466 (CD)",2003-09-27T00:00:00Z,NA,NA
"Beethoven, Ludwig Van","Violin Concerto in D major, Op 61","Thomas Zehetmair (violin), Orchestra of the 18th Century, Frans Bruggen (conductor) (1997)
PHILIPS 462 123-2 (CD)",2003-09-20T00:00:00Z,NA,NA
"Mahler, Gustav",Symphony No 1,"Concertgebouw Orchestra, Leonard Bernstein (conductor) (recorded 1989)
DG 469 154-2 (2-CD)",2003-07-12T00:00:00Z,NA,NA
"Bach, Johann Sebastian","Trio Sonatas for Organ
BWV 525-530","Christopher Herrick (Metzler organ of St Nikolaus, Bremgarten, Switzerland)
HYPERION CDA66390 (CD)",2003-07-05T00:00:00Z,NA,NA
"Schumann, Robert","Frauenliebe und Leben, Op 42","Dame Janet Baker (mezzo), Geoffrey Parsons (piano)
(Live performance recorded 1968)
BBC LEGENDS BBCL 4049-2 (CD)",2003-06-28T00:00:00Z,NA,NA
"Ligeti, György",Etudes for Piano,"Toros Can (piano)
First & Second Books (recorded 2000)
L’EMPREINTE DIGITALE ED 13125 (CD)",2003-06-21T00:00:00Z,NA,NA
"Bizet, Georges",The Pearl Fishers,"Barbara Hendricks (Leila), John Aler (Nadir), Gino Quilico (Zurga), Jean-Philippe-Courtis (Nourabad), Choeurs et Orchestre du Capitole de Toulouse, Michel Plasson (conductor) (recorded 1989)
EMI CDS 7498372 (2-CD)",2003-06-14T00:00:00Z,NA,NA
"Dvořák, Antonín",Symphony No 8,"London Philharmonic Orchestra, Sir Charles Mackerras (conductor) (1992) 
EMI Classics for Pleasure CFP 5757612 (2-CD)",2003-06-07T00:00:00Z,NA,NA
"Rameau, Jean-Philippe",Pieces de Clavecin en Concerts,"Christophe Rousset (harpsichord), Ryo Terakado (violin), Kaori Uemura (viola da gamba) (recorded 1992)
HARMONIA MUNDI HMA 1951418 (CD)",2003-05-31T00:00:00Z,NA,NA
"Brahms, Johannes","18 Liebeslieder-Walzer, Op 52","Barbara Bonney (soprano), Anne Sofie von Otter (mezzo), Kurt Streit (tenor), Olaf Bär (baritone), Helmut Deutsch & Bengt Forsberg (piano duet) (public performance 1994
EMI CDC 5554302 (CD)",2003-05-24T00:00:00Z,NA,NA
"Debussy, Claude",Nocturnes,"Orchestre du Capitole de Toulouse, Voix de femmes des chœurs de Toulouse, Michel Plasson (conductor) (recorded 1988)
EMI 5747272 (CD)",2003-05-17T00:00:00Z,NA,NA
"Dowland, John",Lachrimae,"Fretwork
(recorded 1987-89)
VIRGIN VC 545005-2 (CD)",2003-05-10T00:00:00Z,NA,NA
